9865436 4000
1 1937 1861
0 1577 10749
1 865 1577
0 1874 10596
1 794 1874
0 1023 10203
1 455 1023
0 1710 10313
1 1201 1710
0 120 10454
1 1843 120
0 509 10876
1 1331 509
0 502 10089
1 1513 502
0 251 10764
1 842 251
0 222 10211
1 1079 222
0 1746 10736
1 1934 1746
0 333 10151
1 1741 333
0 1304 10276
1 1384 1304
0 425 10830
1 365 425
0 65 10910
1 846 65
0 512 10495
1 381 512
0 231 10059
1 1506 231
0 635 10516
1 915 635
0 151 10572
1 1508 151
0 76 10048
1 59 76
0 1261 10485
1 816 1261
0 439 10158
1 1482 439
0 1837 10745
1 1765 1837
0 827 10299
1 677 827
0 1531 10310
1 1145 1531
0 1107 10943
1 1854 1107
0 1509 10467
1 1122 1509
0 629 10365
1 1704 629
0 1522 10617
1 54 1522
0 395 10384
1 542 395
0 440 10789
1 1772 440
0 341 10442
1 1241 341
0 1726 10257
1 105 1726
0 1942 10941
1 1730 1942
0 1494 10391
1 336 1494
0 1535 10137
1 1619 1535
0 890 10212
1 746 890
0 674 10169
1 1646 674
0 1630 10491
1 1542 1630
0 1739 10351
1 1194 1739
0 394 10721
1 433 394
0 1685 10070
1 1472 1685
0 1123 10508
1 68 1123
0 1280 10708
1 1166 1280
0 1169 10103
1 1839 1169
0 201 10791
1 1893 201
0 1387 10859
1 1615 1387
0 985 10816
1 1697 985
0 1030 10996
1 828 1030
0 662 10827
1 1760 662
0 443 10450
1 1747 443
0 1878 10091
1 1287 1878
0 1691 10309
1 1365 1691
0 1769 10863
1 857 1769
0 289 10061
1 1480 289
0 1961 10747
1 1645 1961
0 852 10656
1 1795 852
0 1489 10754
1 955 1489
0 1313 10927
1 636 1313
0 671 10274
1 964 671
0 870 10114
1 1773 870
0 874 10470
1 129 874
0 219 10036
1 180 219
0 872 10976
1 1318 872
0 361 10416
1 1929 361
0 204 10711
1 107 204
0 1984 10170
1 1927 1984
0 408 10983
1 1283 408
0 66 10129
1 1478 66
0 240 10624
1 485 240
0 869 10654
1 1378 869
0 1006 10205
1 1709 1006
0 1591 10176
1 1604 1591
0 1195 10872
1 954 1195
0 81 10237
1 1770 81
0 170 10869
1 588 170
0 1618 10476
1 1101 1618
0 1035 10427
1 774 1035
0 1076 10455
1 1090 1076
0 411 10319
1 27 411
0 499 10593
1 190 499
0 1552 10948
1 795 1552
0 1527 10615
1 1189 1527
0 1348 10583
1 1100 1348
0 148 10444
1 158 148
0 1091 10108
1 1801 1091
0 1852 10493
1 323 1852
0 696 10069
1 468 696
0 20 10870
1 1537 20
0 1217 10146
1 1345 1217
0 182 10483
1 907 182
0 1836 10123
1 1883 1836
0 1130 10793
1 1654 1130
0 448 10501
1 445 448
0 37 10743
1 298 37
0 880 10019
1 121 880
0 493 10462
1 1855 493
0 1968 10307
1 103 1968
0 1136 10348
1 757 1136
0 1644 10419
1 34 1644
0 84 10924
1 743 84
0 1150 10049
1 640 1150
0 17 10581
1 1826 17
0 1763 10995
1 717 1763
0 1449 10536
1 301 1449
0 302 10672
1 1359 302
0 644 10760
1 943 644
0 608 10054
1 699 608
0 1291 10248
1 267 1291
0 1922 10823
1 1347 1922
0 1831 10571
1 1574 1831
0 511 10847
1 1185 511
0 387 10381
1 1276 387
0 1952 10780
1 599 1952
0 1708 10856
1 1306 1708
0 450 10305
1 1827 450
0 927 10637
1 1598 927
0 755 10750
1 1389 755
0 21 10321
1 350 21
0 1959 10116
1 956 1959
0 686 10073
1 1144 686
0 1842 10646
1 1419 1842
0 988 10761
1 935 988
0 946 10776
1 1405 946
0 339 10778
1 1820 339
0 704 10334
1 977 704
0 896 10052
1 1673 896
0 700 10412
1 531 700
0 1235 10187
1 941 1235
0 337 10625
1 1237 337
0 483 10038
1 1411 483
0 1099 10570
1 1163 1099
0 186 10940
1 1108 186
0 1962 10871
1 1376 1962
0 1301 10606
1 1790 1301
0 1344 10802
1 1258 1344
0 1914 10875
1 1498 1914
0 1098 10303
1 1810 1098
0 1583 10831
1 809 1583
0 688 10183
1 1176 688
0 1514 10598
1 1438 1514
0 1437 10715
1 1557 1437
0 724 10130
1 1629 724
0 116 10293
1 1548 116
0 1273 10626
1 209 1273
0 1539 10178
1 1047 1539
0 583 10121
1 273 583
0 1011 10426
1 1569 1011
0 1744 10047
1 1253 1744
0 234 10882
1 441 234
0 714 10561
1 1288 714
0 1689 10487
1 1725 1689
0 348 10820
1 1240 348
0 625 10139
1 1965 625
0 1303 10967
1 705 1303
0 802 10588
1 492 802
0 906 10578
1 183 906
0 1320 10699
1 484 1320
0 1192 10009
1 47 1192
0 1233 10127
1 198 1233
0 404 10368
1 1307 404
0 1379 10616
1 400 1379
0 1470 10343
1 98 1470
0 1671 10771
1 829 1671
0 1064 10744
1 1899 1064
0 1717 10567
1 295 1717
0 1713 10532
1 1126 1713
0 1429 10837
1 1727 1429
0 1987 10644
1 519 1987
0 1917 10437
1 279 1917
0 861 10113
1 162 861
0 1688 10418
1 1262 1688
0 1352 10623
1 1124 1352
0 1664 10605
1 1712 1664
0 1951 10727
1 376 1951
0 653 10396
1 106 653
0 914 10452
1 655 914
0 386 10162
1 262 386
0 1407 10445
1 1935 1407
0 1547 10807
1 1851 1547
0 7 10186
1 1757 7
0 1137 10216
1 391 1137
0 345 10440
1 972 345
0 1455 10674
1 399 1455
0 1372 10060
1 200 1372
0 29 10340
1 470 29
0 489 10874
1 1351 489
0 1606 10701
1 1391 1606
0 1336 10988
1 35 1336
0 1246 10700
1 313 1246
0 1581 10289
1 1120 1581
0 615 10796
1 1118 615
0 1705 10590
1 1046 1705
0 791 10428
1 1069 791
0 1056 10569
1 1458 1056
0 1426 10585
1 1584 1426
0 1621 10805
1 1949 1621
0 1275 10612
1 773 1275
0 467 10993
1 1270 467
0 288 10451
1 576 288
0 1015 10669
1 1198 1015
0 1447 10180
1 1724 1447
0 130 10577
1 514 130
0 1465 10013
1 1346 1465
0 80 10842
1 895 80
0 94 10306
1 1564 94
0 995 10499
1 663 995
0 1034 10198
1 1174 1034
0 899 10002
1 600 899
0 1545 10157
1 1657 1545
0 393 10082
1 2000 393
0 166 10640
1 245 166
0 632 10016
1 529 632
0 1560 10464
1 1525 1560
0 1780 10387
1 1719 1780
0 1265 10866
1 639 1265
0 825 10389
1 1890 825
0 122 10328
1 945 122
0 905 10209
1 1340 905
0 363 10120
1 1975 363
0 1700 10430
1 1930 1700
0 229 10683
1 647 229
0 1973 10713
1 497 1973
0 778 10958
1 87 778
0 507 10333
1 312 507
0 368 10968
1 863 368
0 966 10558
1 192 966
0 338 10552
1 1910 338
0 754 10696
1 389 754
0 1353 10100
1 1001 1353
0 1803 10481
1 845 1803
0 454 10202
1 1661 454
0 1203 10986
1 1385 1203
0 657 10636
1 1534 657
0 465 10895
1 1388 465
0 1721 10028
1 1403 1721
0 1500 10853
1 637 1500
0 1526 10112
1 221 1526
0 621 10899
1 834 621
0 191 10806
1 1424 191
0 110 10096
1 1374 110
0 207 10075
1 1010 207
0 552 10664
1 968 552
0 146 10852
1 249 146
0 401 10449
1 1835 401
0 839 10929
1 242 839
0 729 10403
1 1766 729
0 1886 10921
1 74 1886
0 1740 10515
1 772 1740
0 1084 10400
1 1901 1084
0 438 10005
1 114 438
0 584 10143
1 725 584
0 1305 10090
1 858 1305
0 761 10858
1 1561 761
0 1600 10952
1 1613 1600
0 548 10729
1 296 548
0 903 10247
1 1807 903
0 1248 10894
1 1214 1248
0 1267 10264
1 216 1267
0 195 10175
1 571 195
0 1310 10528
1 496 1310
0 1074 10080
1 1627 1074
0 243 10620
1 72 243
0 131 10316
1 886 131
0 660 10471
1 913 660
0 836 10141
1 764 836
0 1647 10772
1 268 1647
0 675 10915
1 1567 675
0 807 10753
1 1087 807
0 362 10574
1 614 362
0 1570 10645
1 1838 1570
0 174 10914
1 1382 174
0 1873 10148
1 426 1873
0 1776 10868
1 1497 1776
0 124 10524
1 329 124
0 1216 10352
1 1116 1216
0 1018 10341
1 854 1018
0 135 10010
1 1299 135
0 1925 10594
1 28 1925
0 1879 10755
1 374 1879
0 1805 10423
1 1386 1805
0 1491 10494
1 1916 1491
0 155 10288
1 1252 155
0 1404 10208
1 392 1404
0 598 10519
1 793 598
0 641 10284
1 792 641
0 1354 10033
1 239 1354
0 607 10184
1 1066 607
0 536 10195
1 320 536
0 1043 10228
1 1608 1043
0 424 10966
1 478 424
0 176 10126
1 580 176
0 701 10496
1 1913 701
0 1743 10027
1 410 1743
0 4 10072
1 676 4
0 435 10281
1 748 435
0 1995 10614
1 1794 1995
0 212 10039
1 52 212
0 1081 10889
1 1495 1081
0 299 10919
1 1088 299
0 1665 10687
1 1148 1665
0 1755 10808
1 888 1755
0 1180 10268
1 741 1180
0 734 10142
1 1902 734
0 1146 10156
1 1222 1146
0 1918 10973
1 1867 1918
0 474 10138
1 551 474
0 354 10969
1 379 354
0 1329 10434
1 661 1329
0 306 10456
1 1028 306
0 806 10243
1 1813 806
0 185 10063
1 46 185
0 1706 10164
1 1302 1706
0 344 10374
1 518 344
0 1439 10122
1 457 1439
0 873 10961
1 1651 873
0 1748 10538
1 482 1748
0 1432 10364
1 1492 1432
0 984 10398
1 760 984
0 177 10962
1 1573 177
0 179 10917
1 782 179
0 1086 10354
1 1274 1086
0 1829 10769
1 480 1829
0 933 10822
1 1357 933
0 910 10883
1 937 910
0 981 10278
1 171 981
0 427 10055
1 805 427
0 1206 10965
1 1224 1206
0 1774 10757
1 656 1774
0 1609 10840
1 1349 1609
0 1558 10472
1 413 1558
0 1524 10893
1 1410 1524
0 859 10916
1 840 859
0 918 10879
1 1999 918
0 503 10197
1 1013 503
0 1804 10779
1 926 1804
0 257 10207
1 1877 257
0 532 10514
1 523 532
0 382 10824
1 1425 382
0 1485 10406
1 1707 1485
0 1341 10395
1 1156 1341
0 986 10838
1 930 986
0 1551 10707
1 423 1551
0 236 10890
1 1321 236
0 726 10908
1 546 726
0 1904 10907
1 238 1904
0 167 10261
1 738 167
0 777 10088
1 788 777
0 475 10133
1 388 475
0 996 10970
1 274 996
0 737 11000
1 1290 737
0 1624 10092
1 1370 1624
0 460 10900
1 893 460
0 1338 10107
1 1451 1338
0 623 10507
1 1469 623
0 569 10566
1 1442 569
0 1170 10461
1 595 1170
0 1649 10990
1 851 1649
0 1798 10770
1 1238 1798
0 1083 10826
1 1695 1083
0 830 10763
1 1325 830
0 432 10885
1 527 432
0 991 10584
1 1681 991
0 596 10631
1 412 596
0 715 10974
1 280 715
0 1684 10562
1 612 1684
0 1293 10906
1 1230 1293
0 708 10704
1 1881 708
0 980 10814
1 1870 980
0 464 10937
1 642 464
0 860 10884
1 22 860
0 359 10651
1 707 359
0 1008 10591
1 680 1008
0 568 10131
1 1519 568
0 516 10296
1 1963 516
0 601 10912
1 1617 601
0 1231 10290
1 1933 1231
0 436 10473
1 1225 436
0 31 10892
1 233 31
0 444 10652
1 922 444
0 1523 10800
1 1234 1523
0 325 10602
1 137 325
0 594 10062
1 1669 594
0 370 10926
1 38 370
0 310 10641
1 1920 310
0 1027 10563
1 428 1027
0 1907 10628
1 1944 1907
0 1758 10957
1 1414 1758
0 1889 10362
1 1272 1889
0 1284 10166
1 1587 1284
0 1191 10586
1 541 1191
0 385 10587
1 646 385
0 1919 10850
1 959 1919
0 294 10386
1 1017 294
0 173 10154
1 78 173
0 1815 10649
1 244 1815
0 1988 10167
1 1715 1988
0 1312 10188
1 459 1312
0 1054 10638
1 12 1054
0 397 10353
1 447 397
0 1957 10523
1 622 1957
0 603 10318
1 838 603
0 768 10554
1 1871 768
0 1936 10067
1 1969 1936
0 555 10401
1 564 555
0 315 10359
1 1520 315
0 1756 10057
1 1884 1756
0 1380 10604
1 159 1380
0 1266 10020
1 1762 1266
0 405 10165
1 889 405
0 577 10271
1 1981 577
0 617 10782
1 573 617
0 1244 10565
1 1314 1244
0 567 10512
1 620 567
0 1289 10448
1 479 1289
0 1220 10639
1 920 1220
0 57 10421
1 1859 57
0 304 10702
1 649 304
0 1967 10152
1 172 1967
0 1161 10945
1 730 1161
0 1515 10828
1 1897 1515
0 9 10301
1 1971 9
0 1834 10044
1 91 1834
0 1012 10422
1 40 1012
0 871 10668
1 1554 871
0 1503 10249
1 1858 1503
0 1440 10909
1 1543 1440
0 556 10295
1 1202 556
0 1540 10710
1 1923 1540
0 1486 10366
1 1791 1486
0 30 10262
1 978 30
0 364 10525
1 6 364
0 1121 10741
1 1487 1121
0 962 10287
1 487 962
0 1211 10194
1 1672 1211
0 25 10270
1 682 25
0 1390 10229
1 1948 1390
0 3 10098
1 161 3
0 1297 10724
1 1796 1297
0 1085 10259
1 1502 1085
0 1714 10012
1 1610 1714
0 218 10308
1 463 218
0 1521 10447
1 206 1521
0 1720 10792
1 356 1720
0 1623 10833
1 711 1623
0 1188 10043
1 67 1188
0 745 10214
1 1759 745
0 1693 10931
1 1998 1693
0 1050 10135
1 259 1050
0 369 10076
1 997 369
0 522 10457
1 558 522
0 1978 10218
1 1518 1978
0 695 10787
1 1356 695
0 973 10029
1 1550 973
0 1435 10799
1 1728 1435
0 1565 10613
1 199 1565
0 684 10535
1 1662 684
0 533 10950
1 203 533
0 1566 10056
1 1040 1566
0 347 10332
1 1060 347
0 1373 10595
1 1215 1373
0 322 10420
1 1821 322
0 1787 10676
1 69 1787
0 42 10315
1 1294 42
0 638 10913
1 1152 638
0 508 10246
1 367 508
0 713 10379
1 1381 713
0 1415 10250
1 1483 1415
0 1045 10600
1 1818 1045
0 1179 10022
1 1408 1179
0 1612 10682
1 1427 1612
0 1197 10241
1 1940 1197
0 317 10582
1 668 317
0 1007 10099
1 923 1007
0 1247 10159
1 1260 1247
0 1596 10982
1 208 1596
0 786 10282
1 342 786
0 731 10956
1 919 731
0 1082 10492
1 1243 1082
0 351 10877
1 1850 351
0 723 10985
1 1249 723
0 1640 10977
1 226 1640
0 547 10925
1 265 547
0 1212 10490
1 1428 1212
0 1785 10559
1 184 1785
0 1872 10298
1 1183 1872
0 560 10666
1 1139 560
0 853 10621
1 1036 853
0 841 10610
1 538 841
0 1905 10697
1 1399 1905
0 1181 10987
1 1722 1181
0 321 10980
1 643 321
0 1974 10686
1 109 1974
0 1814 10231
1 1024 1814
0 811 10436
1 1601 811
0 784 10153
1 1652 784
0 744 10953
1 366 744
0 1633 10851
1 1172 1633
0 1245 10003
1 952 1245
0 217 10932
1 169 217
0 1328 10191
1 716 1328
0 1976 10181
1 152 1976
0 1841 10551
1 1793 1841
0 228 10040
1 112 228
0 544 10738
1 1676 544
0 1393 10954
1 1110 1393
0 319 10544
1 593 319
0 1129 10541
1 1254 1129
0 781 10517
1 1847 781
0 1441 10189
1 694 1441
0 1903 10358
1 123 1903
0 634 10294
1 706 634
0 1454 10210
1 1311 1454
0 832 10196
1 897 832
0 693 10767
1 343 693
0 96 10607
1 1135 96
0 1626 10140
1 1032 1626
0 524 10482
1 1896 524
0 1160 10125
1 894 1160
0 1985 10784
1 539 1985
0 1733 10497
1 378 1733
0 1958 10392
1 787 1958
0 727 10657
1 380 727
0 1655 10484
1 1736 1655
0 1511 10680
1 305 1511
0 1119 10115
1 1460 1119
0 710 10766
1 272 710
0 687 10622
1 1041 687
0 770 10174
1 1051 770
0 932 10053
1 1980 932
0 1592 10311
1 659 1592
0 1141 10232
1 904 1141
0 998 10573
1 1140 998
0 1334 10864
1 126 1334
0 740 10951
1 1632 740
0 1943 10752
1 355 1943
0 290 10498
1 1468 290
0 254 10439
1 1049 254
0 1149 10720
1 1812 1149
0 1279 10433
1 1555 1279
0 790 10580
1 328 790
0 1510 10731
1 1848 1510
0 728 10898
1 300 728
0 1147 10155
1 1142 1147
0 703 10086
1 866 703
0 1911 10383
1 1516 1911
0 557 10534
1 419 557
0 709 10132
1 1251 709
0 1105 10355
1 606 1105
0 247 10739
1 5 247
0 1263 10267
1 1077 1263
0 1876 10050
1 311 1876
0 1227 10886
1 605 1227
0 1599 10335
1 49 1599
0 1507 10251
1 1528 1507
0 1392 10797
1 1960 1392
0 138 10905
1 60 138
0 1000 10825
1 1075 1000
0 1856 10627
1 1496 1856
0 1209 10347
1 950 1209
0 1165 10564
1 26 1165
0 1924 10998
1 1622 1924
0 286 10147
1 1342 286
0 125 10548
1 352 125
0 1173 10959
1 51 1173
0 987 10357
1 1205 987
0 517 10716
1 1450 517
0 1674 10601
1 1315 1674
0 1398 10363
1 1732 1398
0 767 10118
1 1089 767
0 648 10733
1 1964 648
0 1448 10280
1 602 1448
0 1242 10291
1 1832 1242
0 1562 10861
1 1771 1562
0 1475 10531
1 590 1475
0 672 10244
1 1868 672
0 1484 10370
1 812 1484
0 1477 10424
1 1723 1477
0 1822 10239
1 248 1822
0 13 10474
1 1989 13
0 1696 10679
1 1078 1696
0 665 10635
1 1778 665
0 678 10304
1 1536 678
0 23 10675
1 32 23
0 431 10160
1 1892 431
0 461 10918
1 1005 461
0 142 10717
1 136 142
0 1977 10663
1 1588 1977
0 799 10468
1 591 799
0 1603 10193
1 951 1603
0 801 10592
1 1096 801
0 1268 10629
1 563 1268
0 1533 10410
1 1823 1533
0 1643 10576
1 1991 1643
0 488 10714
1 578 488
0 993 10233
1 878 993
0 45 10104
1 654 45
0 589 10480
1 712 589
0 1580 10339
1 1593 1580
0 1830 10609
1 1317 1830
0 1675 10873
1 916 1675
0 64 10703
1 63 64
0 223 10832
1 1571 223
0 1037 10124
1 618 1037
0 154 10660
1 1505 154
0 554 10677
1 476 554
0 1891 10489
1 1908 1891
0 753 10279
1 813 753
0 406 10530
1 271 406
0 281 10648
1 1229 281
0 33 10252
1 1053 33
0 586 10546
1 885 586
0 1862 10263
1 241 1862
0 331 10653
1 390 331
0 1667 10520
1 372 1667
0 472 10834
1 525 472
0 1585 10404
1 1808 1585
0 132 10788
1 291 132
0 44 10320
1 1014 44
0 719 10342
1 579 719
0 235 10025
1 1817 235
0 611 10550
1 766 611
0 690 10817
1 139 690
0 1642 10085
1 1699 1642
0 1218 10911
1 944 1218
0 97 10619
1 1474 97
0 735 10163
1 645 735
0 1493 10756
1 891 1493
0 520 10979
1 1660 520
0 960 10689
1 1464 960
0 1182 10032
1 651 1182
0 664 10658
1 1670 664
0 340 10435
1 1204 340
0 75 10458
1 149 75
0 1106 10405
1 1026 1106
0 1200 10539
1 1786 1200
0 181 10415
1 150 181
0 1956 10896
1 1931 1956
0 849 10110
1 565 849
0 1445 10730
1 414 1445
0 1168 10881
1 276 1168
0 1420 10942
1 297 1420
0 720 10647
1 490 720
0 1068 10801
1 282 1068
0 421 10006
1 462 421
0 1909 10735
1 1250 1909
0 971 10557
1 681 971
0 771 10066
1 420 771
0 1383 10327
1 1735 1383
0 1666 10225
1 1335 1666
0 232 10385
1 670 232
0 992 10829
1 140 992
0 396 10947
1 1417 396
0 1553 10399
1 1167 1553
0 147 10734
1 1159 147
0 1611 10393
1 989 1611
0 332 10991
1 1324 332
0 253 10503
1 377 253
