24197 200
0 45 644
1 45 68
0 55 810
0 64 810
1 64 55
0 2 703
0 53 703
1 53 2
0 41 900
0 86 900
1 86 41
0 60 762
0 18 762
1 18 60
0 6 616
0 42 616
1 42 6
0 46 619
0 78 619
1 78 46
0 62 720
0 57 720
1 57 62
0 10 521
0 9 521
1 9 10
0 19 706
0 12 706
1 12 19
0 43 644
0 94 644
1 94 43
0 24 862
0 44 862
1 44 24
0 73 622
0 87 622
1 87 73
0 88 722
0 85 722
1 85 88
0 58 362
0 91 362
1 91 58
0 92 577
0 17 577
1 17 92
0 1 290
0 94 290
1 94 1
0 70 668
0 16 668
1 16 70
0 30 302
0 9 302
1 9 30
0 82 362
0 18 362
1 18 82
0 20 445
0 86 445
1 86 20
0 52 429
0 84 429
1 84 52
0 63 91
0 66 91
1 66 63
0 59 470
0 72 470
1 72 59
0 3 4
0 4 580
0 9 120
0 11 146
0 12 293
0 15 303
0 16 128
0 17 190
0 18 99
0 21 590
0 22 173
0 25 914
0 27 179
0 28 426
0 29 248
0 32 34
0 36 264
0 37 296
0 38 517
0 40 854
0 42 352
0 44 288
0 45 577
0 48 432
0 49 755
0 51 995
0 53 472
0 54 523
0 57 346
0 64 558
0 65 148
0 66 10
0 67 497
0 69 739
0 72 9
0 74 504
0 76 856
0 77 366
0 78 350
0 80 314
0 81 110
0 83 38
0 84 89
0 85 236
0 86 93
0 87 237
0 89 143
0 90 328
0 91 215
0 93 88
0 94 139
0 96 195
16779 168
0 39 31
1 42 39
0 2 154
1 18 2
0 13 248
1 85 13
0 63 154
1 35 63
0 72 406
1 28 72
0 58 465
1 44 58
0 48 298
1 73 48
0 5 252
1 27 5
0 1 690
1 46 1
0 41 330
1 69 41
0 16 579
1 70 16
0 2 432
1 68 2
0 21 525
1 87 21
0 10 686
1 49 10
0 92 744
1 80 92
0 19 869
1 25 19
0 72 832
1 71 72
0 1 991
1 84 1
0 88 991
1 36 88
0 91 951
0 36 951
1 36 91
0 76 940
0 84 940
1 84 76
0 21 937
0 84 937
1 84 21
0 52 947
0 36 947
1 36 52
0 86 823
0 71 823
1 71 86
0 55 838
0 36 838
1 36 55
0 5 720
0 25 720
1 25 5
0 51 595
0 80 595
1 80 51
0 37 786
0 36 786
1 36 37
0 6 478
0 49 478
1 49 6
0 7 501
0 36 501
1 36 7
0 8 397
0 36 397
1 36 8
0 34 541
0 80 541
1 80 34
0 3 359
0 68 359
1 68 3
0 11 334
0 70 334
1 70 11
0 39 288
0 68 288
1 68 39
0 9 227
0 73 227
1 73 9
0 90 934
0 84 934
1 84 90
0 78 116
0 85 116
1 85 78
0 1 996
0 2 661
0 4 703
0 10 727
0 12 770
0 13 595
0 14 889
0 15 313
0 16 609
0 17 423
0 18 72
0 19 935
0 20 880
0 22 335
0 23 395
0 24 635
0 25 648
0 26 838
0 27 240
0 28 142
0 29 692
0 30 780
0 31 890
0 32 490
0 33 894
0 35 133
0 36 389
0 38 858
0 40 652
0 41 542
0 42 1
0 43 924
0 44 185
0 45 949
0 46 252
0 47 549
0 48 333
0 49 403
0 50 752
0 53 518
0 54 54
0 56 89
0 57 990
0 58 835
0 59 899
0 60 898
0 61 253
0 62 797
0 63 247
0 64 650
0 65 317
0 66 612
0 67 619
0 68 101
0 69 266
0 70 117
0 71 799
0 72 980
0 73 55
0 74 743
0 75 976
0 77 558
0 79 318
0 80 361
0 81 542
0 82 616
0 83 628
0 84 8
0 85 4
0 87 413
0 88 992
0 89 496
0 92 798
30265 87
0 1 509
0 2 600
0 3 736
0 4 665
0 5 668
0 6 545
0 7 966
0 8 687
0 9 900
0 10 605
0 11 221
0 12 636
0 13 742
0 14 448
0 15 616
0 16 307
0 17 196
0 18 882
0 19 786
0 20 888
0 21 709
0 22 358
0 23 778
0 24 678
0 25 765
0 26 859
0 27 868
0 28 890
0 29 744
0 30 659
0 31 641
0 32 658
0 33 854
0 34 715
0 35 513
0 36 889
0 37 588
0 38 974
0 39 249
0 40 821
0 41 923
0 42 920
0 43 361
0 44 995
0 45 512
0 46 829
0 47 420
0 48 472
0 49 565
0 50 713
0 51 813
0 52 934
0 53 780
0 54 585
0 55 521
0 56 559
0 57 914
0 58 935
0 59 407
0 60 713
0 61 996
0 62 289
0 63 85
0 64 538
0 65 554
0 66 984
0 67 949
0 68 667
0 69 840
0 70 810
0 71 475
0 72 683
0 73 768
0 74 929
0 75 950
0 76 931
0 77 644
0 78 874
0 79 898
0 80 712
0 81 878
0 82 753
0 83 797
0 84 882
0 85 427
0 86 526
0 87 740
